tconst,primaryTitle,startYear,genres,lead_actors_ids,runtimeMinutes,averageRating,Language,Country,numVotes,budget,BoxOffice,plot
tt9603212,Mission: Impossible - Dead Reckoning Part One,2023,"[""Action"", ""Adventure"", ""Thriller""]","[""nm0000129"", ""nm2017943"", ""nm0000609""]",163,7.6,English,United States,326383,255.5,571.1,Ethan Hunt and his IMF team must track down a terrifying new weapon that threatens all of humanity.
tt10648342,Thor: Love and Thunder,2022,"[""Action"", ""Adventure"", ""Comedy""]","[""nm1165110"", ""nm0000204"", ""nm0000288""]",118,6.1,English,United States,459337,250.0,760.9,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct."
tt9114286,Black Panther: Wakanda Forever,2022,"[""Action"", ""Adventure"", ""Drama""]","[""nm4004793"", ""nm2143282"", ""nm1775091""]",161,6.6,English,United States,368850,200.0,859.2,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.
tt1877830,The Batman,2022,"[""Action"", ""Crime"", ""Drama""]","[""nm1500155"", ""nm2368789"", ""nm0942482""]",176,7.8,English,United States,923764,185.0,772.3,"When a sadistic serial killer begins murdering key political figures in Gotham, the Batman is forced to investigate the city's hidden corruption and question his family's involvement."
tt10872600,Spider-Man: No Way Home,2021,"[""Action"", ""Adventure"", ""Fantasy""]","[""nm0276169"", ""nm3918035"", ""nm1212722""]",148,8.1,English,United States,1016161,200.0,1921.0,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear."
tt1160419,Dune: Part One,2021,"[""Action"", ""Adventure"", ""Drama""]","[""nm3154303"", ""nm0272581"", ""nm3918035""]",155,8.0,English,United States,1038179,165.0,411.0,"Paul Atreides arrives on Arrakis after his father accepts the stewardship of the dangerous planet. However, chaos ensues after a betrayal as forces clash to control melange, a precious resource."
tt10272386,The Father,2020,"[""Drama"", ""Mystery""]","[""nm0000164"", ""nm1469236"", ""nm0309693""]",97,8.2,English,United Kingdom,240885,6.0,36.0,"A man refuses all assistance from his daughter as he ages. When he tries to understand what is happening around him, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
tt11671006,The Man from Toronto,2022,"[""Action"", ""Adventure"", ""Comedy""]","[""nm0000437"", ""nm8567129""]",110,5.8,English,United States,65794,75.0,,The world's deadliest assassin and New York's biggest screw-up are mistaken for each other at an Airbnb rental.
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005,"[""Action"", ""Adventure"", ""Fantasy""]","[""nm0159789"", ""nm0000204"", ""nm0000191""]",140,7.7,English,United States,912634,,414.38,"As the Clone Wars nears its end, Obi-Wan Kenobi pursues a new threat, while Anakin Skywalker is lured by Chancellor Palpatine into a sinister plot for galactic domination."
tt0121765,Star Wars: Episode II - Attack of the Clones,2002,"[""Action"", ""Adventure"", ""Fantasy""]","[""nm0159789"", ""nm0000204"", ""nm0000191""]",142,6.6,English,United States,815170,115.0,653.8,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi discovers a secret clone army crafted for the Jedi."
